date,store_id,product_id,product_name,category,region,quantity_sold,unit_price,total_sales
2025-05-09,103,701,Anchor Full Cream 1L,Dairy,Eastern,50,2.8,140.0
2025-05-26,105,601,Sunlight Detergent 1kg,Household,Western,20,3.0,60.0
2025-05-11,105,802,Maliban Marie 400g,Food,Central,41,1.6,65.6
2025-05-30,103,701,Anchor Full Cream 1L,Dairy,Eastern,19,2.8,53.2
2025-05-25,103,901,Signal Toothpaste 120g,Toiletries,Western,44,2.5,110.0
2025-05-18,101,802,Maliban Marie 400g,Food,Southern,11,1.6,17.6
2025-05-07,104,801,Kist Mango Jam 500g,Food,Northern,6,2.2,13.2
2025-05-15,105,802,Maliban Marie 400g,Food,Eastern,6,1.6,9.6
2025-05-25,104,601,Sunlight Detergent 1kg,Household,Western,18,3.0,54.0
2025-05-11,104,802,Maliban Marie 400g,Food,Eastern,38,1.6,60.8
2025-05-19,102,802,Maliban Marie 400g,Food,Southern,9,1.6,14.4
2025-05-27,101,901,Signal Toothpaste 120g,Toiletries,Northern,23,2.5,57.5
2025-05-19,102,802,Maliban Marie 400g,Food,Southern,19,1.6,30.4
2025-05-28,101,801,Kist Mango Jam 500g,Food,Southern,36,2.2,79.2
2025-05-25,104,701,Anchor Full Cream 1L,Dairy,Eastern,9,2.8,25.2
2025-05-29,105,802,Maliban Marie 400g,Food,Northern,1,1.6,1.6
2025-05-29,102,701,Anchor Full Cream 1L,Dairy,Central,4,2.8,11.2
2025-05-14,101,901,Signal Toothpaste 120g,Toiletries,Northern,16,2.5,40.0
2025-05-07,101,802,Maliban Marie 400g,Food,Eastern,21,1.6,33.6
2025-05-05,103,502,Pepsi 500ml,Beverages,Eastern,25,1.4,35.0
2025-05-10,104,501,Coca-Cola 500ml,Beverages,Northern,26,1.5,39.0
2025-05-08,103,901,Signal Toothpaste 120g,Toiletries,Central,44,2.5,110.0
2025-05-04,101,502,Pepsi 500ml,Beverages,Western,1,1.4,1.4
2025-05-21,103,802,Maliban Marie 400g,Food,Southern,39,1.6,62.4
2025-05-04,104,601,Sunlight Detergent 1kg,Household,Northern,40,3.0,120.0
2025-05-18,102,601,Sunlight Detergent 1kg,Household,Northern,18,3.0,54.0
2025-05-28,102,601,Sunlight Detergent 1kg,Household,Western,18,3.0,54.0
2025-05-01,104,502,Pepsi 500ml,Beverages,Eastern,43,1.4,60.2
2025-05-04,104,601,Sunlight Detergent 1kg,Household,Northern,3,3.0,9.0
2025-05-25,103,601,Sunlight Detergent 1kg,Household,Northern,13,3.0,39.0
2025-05-10,105,802,Maliban Marie 400g,Food,Central,20,1.6,32.0
2025-05-18,101,801,Kist Mango Jam 500g,Food,Eastern,18,2.2,39.6
2025-05-18,101,802,Maliban Marie 400g,Food,Western,38,1.6,60.8
2025-05-04,102,901,Signal Toothpaste 120g,Toiletries,Northern,48,2.5,120.0
2025-05-16,102,502,Pepsi 500ml,Beverages,Southern,9,1.4,12.6
2025-05-03,101,802,Maliban Marie 400g,Food,Southern,10,1.6,16.0
2025-05-22,105,901,Signal Toothpaste 120g,Toiletries,Eastern,12,2.5,30.0
2025-05-04,102,701,Anchor Full Cream 1L,Dairy,Central,47,2.8,131.6
2025-05-17,101,601,Sunlight Detergent 1kg,Household,Western,10,3.0,30.0
2025-05-09,101,601,Sunlight Detergent 1kg,Household,Western,46,3.0,138.0
2025-05-24,102,901,Signal Toothpaste 120g,Toiletries,Northern,6,2.5,15.0
2025-05-09,103,801,Kist Mango Jam 500g,Food,Eastern,50,2.2,110.0
2025-05-12,105,701,Anchor Full Cream 1L,Dairy,Western,9,2.8,25.2
2025-05-20,101,801,Kist Mango Jam 500g,Food,Western,22,2.2,48.4
2025-05-23,101,801,Kist Mango Jam 500g,Food,Eastern,21,2.2,46.2
2025-05-03,105,502,Pepsi 500ml,Beverages,Central,43,1.4,60.2
2025-05-18,102,901,Signal Toothpaste 120g,Toiletries,Southern,38,2.5,95.0
2025-05-21,102,502,Pepsi 500ml,Beverages,Western,46,1.4,64.4
2025-05-26,102,802,Maliban Marie 400g,Food,Southern,10,1.6,16.0
2025-05-23,105,601,Sunlight Detergent 1kg,Household,Northern,6,3.0,18.0
2025-05-18,102,502,Pepsi 500ml,Beverages,Eastern,35,1.4,49.0
2025-05-08,101,901,Signal Toothpaste 120g,Toiletries,Southern,38,2.5,95.0
2025-05-13,103,502,Pepsi 500ml,Beverages,Central,37,1.4,51.8
2025-05-14,101,901,Signal Toothpaste 120g,Toiletries,Central,12,2.5,30.0
2025-05-04,101,901,Signal Toothpaste 120g,Toiletries,Central,3,2.5,7.5
2025-05-11,104,501,Coca-Cola 500ml,Beverages,Southern,6,1.5,9.0
2025-05-20,102,601,Sunlight Detergent 1kg,Household,Western,27,3.0,81.0
2025-05-27,102,502,Pepsi 500ml,Beverages,Western,24,1.4,33.6
2025-05-13,101,502,Pepsi 500ml,Beverages,Eastern,29,1.4,40.6
2025-05-04,101,601,Sunlight Detergent 1kg,Household,Northern,30,3.0,90.0
2025-05-23,102,802,Maliban Marie 400g,Food,Northern,31,1.6,49.6
2025-05-27,103,601,Sunlight Detergent 1kg,Household,Eastern,42,3.0,126.0
2025-05-30,104,701,Anchor Full Cream 1L,Dairy,Western,33,2.8,92.4
2025-05-06,104,701,Anchor Full Cream 1L,Dairy,Western,25,2.8,70.0
2025-05-18,104,502,Pepsi 500ml,Beverages,Western,15,1.4,21.0
2025-05-15,104,701,Anchor Full Cream 1L,Dairy,Southern,22,2.8,61.6
2025-05-19,104,701,Anchor Full Cream 1L,Dairy,Eastern,16,2.8,44.8
2025-05-19,102,701,Anchor Full Cream 1L,Dairy,Southern,27,2.8,75.6
2025-05-22,105,901,Signal Toothpaste 120g,Toiletries,Western,7,2.5,17.5
2025-05-30,102,801,Kist Mango Jam 500g,Food,Northern,6,2.2,13.2
2025-05-13,104,501,Coca-Cola 500ml,Beverages,Southern,39,1.5,58.5
2025-05-19,105,901,Signal Toothpaste 120g,Toiletries,Western,30,2.5,75.0
2025-05-06,103,802,Maliban Marie 400g,Food,Western,44,1.6,70.4
2025-05-16,103,802,Maliban Marie 400g,Food,Northern,49,1.6,78.4
2025-05-02,102,502,Pepsi 500ml,Beverages,Western,5,1.4,7.0
2025-05-03,102,802,Maliban Marie 400g,Food,Eastern,19,1.6,30.4
2025-05-02,104,501,Coca-Cola 500ml,Beverages,Western,48,1.5,72.0
2025-05-09,101,501,Coca-Cola 500ml,Beverages,Eastern,9,1.5,13.5
2025-05-01,105,802,Maliban Marie 400g,Food,Central,9,1.6,14.4
2025-05-30,102,701,Anchor Full Cream 1L,Dairy,Northern,37,2.8,103.6
2025-05-18,103,801,Kist Mango Jam 500g,Food,Northern,10,2.2,22.0
2025-05-09,101,601,Sunlight Detergent 1kg,Household,Northern,4,3.0,12.0
2025-05-06,105,701,Anchor Full Cream 1L,Dairy,Eastern,23,2.8,64.4
2025-05-08,101,801,Kist Mango Jam 500g,Food,Southern,43,2.2,94.6
2025-05-27,101,901,Signal Toothpaste 120g,Toiletries,Northern,16,2.5,40.0
2025-05-23,102,802,Maliban Marie 400g,Food,Southern,39,1.6,62.4
2025-05-29,102,601,Sunlight Detergent 1kg,Household,Western,26,3.0,78.0
2025-05-04,101,802,Maliban Marie 400g,Food,Central,12,1.6,19.2
2025-05-26,102,701,Anchor Full Cream 1L,Dairy,Western,48,2.8,134.4
2025-05-04,103,901,Signal Toothpaste 120g,Toiletries,Western,17,2.5,42.5
2025-05-09,104,701,Anchor Full Cream 1L,Dairy,Southern,35,2.8,98.0
2025-05-01,102,502,Pepsi 500ml,Beverages,Southern,29,1.4,40.6
2025-05-19,104,701,Anchor Full Cream 1L,Dairy,Western,12,2.8,33.6
2025-05-26,102,601,Sunlight Detergent 1kg,Household,Central,21,3.0,63.0
2025-05-30,102,601,Sunlight Detergent 1kg,Household,Northern,27,3.0,81.0
2025-05-12,102,802,Maliban Marie 400g,Food,Northern,25,1.6,40.0
2025-05-21,101,701,Anchor Full Cream 1L,Dairy,Eastern,21,2.8,58.8
2025-05-19,101,502,Pepsi 500ml,Beverages,Southern,15,1.4,21.0
2025-05-27,101,701,Anchor Full Cream 1L,Dairy,Northern,22,2.8,61.6
2025-05-28,104,701,Anchor Full Cream 1L,Dairy,Northern,48,2.8,134.4
2025-05-13,105,801,Kist Mango Jam 500g,Food,Central,42,2.2,92.4
2025-05-15,103,601,Sunlight Detergent 1kg,Household,Western,24,3.0,72.0
2025-05-03,102,802,Maliban Marie 400g,Food,Western,22,1.6,35.2
2025-05-04,101,601,Sunlight Detergent 1kg,Household,Western,24,3.0,72.0
2025-05-24,103,901,Signal Toothpaste 120g,Toiletries,Eastern,36,2.5,90.0
2025-05-09,104,601,Sunlight Detergent 1kg,Household,Central,18,3.0,54.0
2025-05-07,104,501,Coca-Cola 500ml,Beverages,Eastern,2,1.5,3.0
2025-05-16,102,701,Anchor Full Cream 1L,Dairy,Western,2,2.8,5.6
2025-05-16,103,601,Sunlight Detergent 1kg,Household,Southern,7,3.0,21.0
2025-05-14,102,601,Sunlight Detergent 1kg,Household,Central,45,3.0,135.0
2025-05-11,101,601,Sunlight Detergent 1kg,Household,Central,23,3.0,69.0
2025-05-15,102,701,Anchor Full Cream 1L,Dairy,Eastern,38,2.8,106.4
2025-05-06,104,801,Kist Mango Jam 500g,Food,Southern,43,2.2,94.6
2025-05-30,102,502,Pepsi 500ml,Beverages,Eastern,49,1.4,68.6
2025-05-22,105,901,Signal Toothpaste 120g,Toiletries,Eastern,45,2.5,112.5
2025-05-30,104,901,Signal Toothpaste 120g,Toiletries,Southern,27,2.5,67.5
2025-05-24,105,802,Maliban Marie 400g,Food,Eastern,24,1.6,38.4
2025-05-26,101,502,Pepsi 500ml,Beverages,Northern,14,1.4,19.6
2025-05-23,105,901,Signal Toothpaste 120g,Toiletries,Northern,50,2.5,125.0
2025-05-02,101,502,Pepsi 500ml,Beverages,Central,28,1.4,39.2
2025-05-24,102,801,Kist Mango Jam 500g,Food,Eastern,46,2.2,101.2
2025-05-04,101,701,Anchor Full Cream 1L,Dairy,Southern,19,2.8,53.2
2025-05-08,103,901,Signal Toothpaste 120g,Toiletries,Northern,33,2.5,82.5
2025-05-15,102,701,Anchor Full Cream 1L,Dairy,Southern,3,2.8,8.4
2025-05-28,105,901,Signal Toothpaste 120g,Toiletries,Southern,17,2.5,42.5
2025-05-02,104,502,Pepsi 500ml,Beverages,Northern,25,1.4,35.0
2025-05-29,102,901,Signal Toothpaste 120g,Toiletries,Eastern,28,2.5,70.0
2025-05-30,104,601,Sunlight Detergent 1kg,Household,Central,2,3.0,6.0
2025-05-04,101,501,Coca-Cola 500ml,Beverages,Western,24,1.5,36.0
2025-05-01,101,901,Signal Toothpaste 120g,Toiletries,Northern,45,2.5,112.5
2025-05-05,103,802,Maliban Marie 400g,Food,Southern,4,1.6,6.4
2025-05-13,105,502,Pepsi 500ml,Beverages,Central,28,1.4,39.2
2025-05-07,105,801,Kist Mango Jam 500g,Food,Northern,46,2.2,101.2
2025-05-05,105,901,Signal Toothpaste 120g,Toiletries,Eastern,35,2.5,87.5
2025-05-13,103,802,Maliban Marie 400g,Food,Northern,14,1.6,22.4
2025-05-02,102,601,Sunlight Detergent 1kg,Household,Northern,15,3.0,45.0
2025-05-09,104,601,Sunlight Detergent 1kg,Household,Western,32,3.0,96.0
2025-05-06,102,701,Anchor Full Cream 1L,Dairy,Northern,13,2.8,36.4
2025-05-21,105,701,Anchor Full Cream 1L,Dairy,Eastern,13,2.8,36.4
2025-05-14,104,501,Coca-Cola 500ml,Beverages,Northern,13,1.5,19.5
2025-05-08,105,801,Kist Mango Jam 500g,Food,Southern,22,2.2,48.4
2025-05-09,101,801,Kist Mango Jam 500g,Food,Western,5,2.2,11.0
2025-05-24,105,901,Signal Toothpaste 120g,Toiletries,Western,14,2.5,35.0
2025-05-15,103,901,Signal Toothpaste 120g,Toiletries,Central,42,2.5,105.0
2025-05-16,102,801,Kist Mango Jam 500g,Food,Northern,24,2.2,52.8
2025-05-07,105,501,Coca-Cola 500ml,Beverages,Central,23,1.5,34.5
2025-05-07,104,501,Coca-Cola 500ml,Beverages,Southern,32,1.5,48.0
2025-05-01,104,701,Anchor Full Cream 1L,Dairy,Eastern,7,2.8,19.6
2025-05-20,102,502,Pepsi 500ml,Beverages,Eastern,28,1.4,39.2
2025-05-14,104,502,Pepsi 500ml,Beverages,Southern,47,1.4,65.8
2025-05-30,101,901,Signal Toothpaste 120g,Toiletries,Eastern,42,2.5,105.0
2025-05-23,103,601,Sunlight Detergent 1kg,Household,Southern,13,3.0,39.0
2025-05-02,102,801,Kist Mango Jam 500g,Food,Western,30,2.2,66.0
2025-05-05,101,501,Coca-Cola 500ml,Beverages,Central,2,1.5,3.0
2025-05-08,101,801,Kist Mango Jam 500g,Food,Central,36,2.2,79.2
2025-05-09,103,801,Kist Mango Jam 500g,Food,Central,50,2.2,110.0
2025-05-17,105,801,Kist Mango Jam 500g,Food,Northern,20,2.2,44.0
2025-05-26,102,502,Pepsi 500ml,Beverages,Eastern,32,1.4,44.8
2025-05-07,105,502,Pepsi 500ml,Beverages,Eastern,37,1.4,51.8
2025-05-24,104,901,Signal Toothpaste 120g,Toiletries,Eastern,19,2.5,47.5
2025-05-25,102,701,Anchor Full Cream 1L,Dairy,Northern,49,2.8,137.2
2025-05-14,102,502,Pepsi 500ml,Beverages,Northern,13,1.4,18.2
2025-05-18,105,502,Pepsi 500ml,Beverages,Southern,40,1.4,56.0
2025-05-15,104,601,Sunlight Detergent 1kg,Household,Southern,19,3.0,57.0
2025-05-19,105,502,Pepsi 500ml,Beverages,Southern,30,1.4,42.0
2025-05-22,102,802,Maliban Marie 400g,Food,Central,20,1.6,32.0
2025-05-24,102,601,Sunlight Detergent 1kg,Household,Northern,17,3.0,51.0
2025-05-08,104,802,Maliban Marie 400g,Food,Eastern,10,1.6,16.0
2025-05-03,105,501,Coca-Cola 500ml,Beverages,Eastern,44,1.5,66.0
2025-05-01,103,601,Sunlight Detergent 1kg,Household,Central,3,3.0,9.0
2025-05-21,104,502,Pepsi 500ml,Beverages,Southern,34,1.4,47.6
2025-05-05,101,502,Pepsi 500ml,Beverages,Western,6,1.4,8.4
2025-05-23,103,502,Pepsi 500ml,Beverages,Southern,10,1.4,14.0
2025-05-07,105,501,Coca-Cola 500ml,Beverages,Eastern,35,1.5,52.5
2025-05-14,101,502,Pepsi 500ml,Beverages,Northern,28,1.4,39.2
2025-05-24,103,701,Anchor Full Cream 1L,Dairy,Northern,23,2.8,64.4
2025-05-07,103,501,Coca-Cola 500ml,Beverages,Western,47,1.5,70.5
2025-05-22,105,502,Pepsi 500ml,Beverages,Southern,24,1.4,33.6
2025-05-07,105,501,Coca-Cola 500ml,Beverages,Western,30,1.5,45.0
2025-05-10,104,501,Coca-Cola 500ml,Beverages,Northern,31,1.5,46.5
2025-05-11,103,901,Signal Toothpaste 120g,Toiletries,Southern,5,2.5,12.5
2025-05-24,104,802,Maliban Marie 400g,Food,Eastern,16,1.6,25.6
2025-05-26,104,802,Maliban Marie 400g,Food,Southern,46,1.6,73.6
2025-05-12,102,701,Anchor Full Cream 1L,Dairy,Western,2,2.8,5.6
2025-05-30,105,901,Signal Toothpaste 120g,Toiletries,Western,32,2.5,80.0
2025-05-05,101,502,Pepsi 500ml,Beverages,Northern,30,1.4,42.0
2025-05-29,101,901,Signal Toothpaste 120g,Toiletries,Southern,22,2.5,55.0
2025-05-15,104,901,Signal Toothpaste 120g,Toiletries,Eastern,35,2.5,87.5
2025-05-27,102,901,Signal Toothpaste 120g,Toiletries,Central,38,2.5,95.0
2025-05-26,101,601,Sunlight Detergent 1kg,Household,Northern,41,3.0,123.0
2025-05-15,101,701,Anchor Full Cream 1L,Dairy,Eastern,7,2.8,19.6
2025-05-03,103,701,Anchor Full Cream 1L,Dairy,Central,24,2.8,67.2
2025-05-20,105,801,Kist Mango Jam 500g,Food,Western,14,2.2,30.8
2025-05-22,104,901,Signal Toothpaste 120g,Toiletries,Southern,42,2.5,105.0
2025-05-10,101,502,Pepsi 500ml,Beverages,Southern,18,1.4,25.2
2025-05-07,105,502,Pepsi 500ml,Beverages,Southern,47,1.4,65.8
2025-05-07,101,801,Kist Mango Jam 500g,Food,Western,5,2.2,11.0
2025-05-30,104,501,Coca-Cola 500ml,Beverages,Central,35,1.5,52.5
2025-05-11,102,501,Coca-Cola 500ml,Beverages,Western,21,1.5,31.5
2025-05-05,105,801,Kist Mango Jam 500g,Food,Central,33,2.2,72.6
2025-05-22,105,601,Sunlight Detergent 1kg,Household,Northern,7,3.0,21.0
2025-05-01,105,901,Signal Toothpaste 120g,Toiletries,Western,13,2.5,32.5
2025-05-19,104,601,Sunlight Detergent 1kg,Household,Southern,35,3.0,105.0
2025-05-05,103,601,Sunlight Detergent 1kg,Household,Southern,27,3.0,81.0
2025-05-02,104,901,Signal Toothpaste 120g,Toiletries,Southern,2,2.5,5.0
2025-05-27,102,801,Kist Mango Jam 500g,Food,Northern,9,2.2,19.8
2025-05-04,104,501,Coca-Cola 500ml,Beverages,Western,3,1.5,4.5
2025-05-16,101,901,Signal Toothpaste 120g,Toiletries,Central,12,2.5,30.0
2025-05-09,103,601,Sunlight Detergent 1kg,Household,Eastern,3,3.0,9.0
2025-05-22,105,601,Sunlight Detergent 1kg,Household,Eastern,25,3.0,75.0
2025-05-22,102,501,Coca-Cola 500ml,Beverages,Northern,17,1.5,25.5
2025-05-13,105,701,Anchor Full Cream 1L,Dairy,Western,38,2.8,106.4
2025-05-09,104,701,Anchor Full Cream 1L,Dairy,Northern,35,2.8,98.0
2025-05-04,103,501,Coca-Cola 500ml,Beverages,Eastern,39,1.5,58.5
2025-05-22,103,502,Pepsi 500ml,Beverages,Northern,45,1.4,63.0
2025-05-29,105,701,Anchor Full Cream 1L,Dairy,Central,50,2.8,140.0
2025-05-03,104,501,Coca-Cola 500ml,Beverages,Northern,50,1.5,75.0
2025-05-09,101,701,Anchor Full Cream 1L,Dairy,Southern,43,2.8,120.4
2025-05-28,101,701,Anchor Full Cream 1L,Dairy,Eastern,4,2.8,11.2
2025-05-02,104,502,Pepsi 500ml,Beverages,Southern,26,1.4,36.4
2025-05-13,105,601,Sunlight Detergent 1kg,Household,Central,29,3.0,87.0
2025-05-24,101,801,Kist Mango Jam 500g,Food,Western,7,2.2,15.4
2025-05-02,101,901,Signal Toothpaste 120g,Toiletries,Western,27,2.5,67.5
2025-05-18,103,502,Pepsi 500ml,Beverages,Northern,4,1.4,5.6
2025-05-18,102,601,Sunlight Detergent 1kg,Household,Eastern,35,3.0,105.0
2025-05-25,105,701,Anchor Full Cream 1L,Dairy,Northern,34,2.8,95.2
2025-05-26,102,801,Kist Mango Jam 500g,Food,Western,50,2.2,110.0
2025-05-07,101,601,Sunlight Detergent 1kg,Household,Southern,8,3.0,24.0
2025-05-19,104,801,Kist Mango Jam 500g,Food,Western,24,2.2,52.8
2025-05-01,104,801,Kist Mango Jam 500g,Food,Western,11,2.2,24.2
2025-05-15,105,901,Signal Toothpaste 120g,Toiletries,Eastern,18,2.5,45.0
2025-05-13,101,501,Coca-Cola 500ml,Beverages,Northern,48,1.5,72.0
2025-05-21,105,901,Signal Toothpaste 120g,Toiletries,Northern,46,2.5,115.0
2025-05-19,105,901,Signal Toothpaste 120g,Toiletries,Western,4,2.5,10.0
2025-05-22,102,501,Coca-Cola 500ml,Beverages,Southern,49,1.5,73.5
2025-05-20,103,901,Signal Toothpaste 120g,Toiletries,Northern,48,2.5,120.0
2025-05-04,105,802,Maliban Marie 400g,Food,Central,19,1.6,30.4
2025-05-04,102,502,Pepsi 500ml,Beverages,Eastern,26,1.4,36.4
2025-05-19,104,802,Maliban Marie 400g,Food,Southern,14,1.6,22.4
2025-05-03,102,701,Anchor Full Cream 1L,Dairy,Central,49,2.8,137.2
2025-05-17,102,701,Anchor Full Cream 1L,Dairy,Central,34,2.8,95.2
2025-05-14,103,601,Sunlight Detergent 1kg,Household,Central,35,3.0,105.0
2025-05-09,105,701,Anchor Full Cream 1L,Dairy,Western,32,2.8,89.6
2025-05-12,104,802,Maliban Marie 400g,Food,Eastern,50,1.6,80.0
2025-05-10,103,801,Kist Mango Jam 500g,Food,Eastern,21,2.2,46.2
2025-05-01,101,801,Kist Mango Jam 500g,Food,Western,25,2.2,55.0
2025-05-22,105,802,Maliban Marie 400g,Food,Central,5,1.6,8.0
2025-05-24,101,901,Signal Toothpaste 120g,Toiletries,Western,28,2.5,70.0
2025-05-18,101,502,Pepsi 500ml,Beverages,Eastern,32,1.4,44.8
2025-05-21,101,502,Pepsi 500ml,Beverages,Central,44,1.4,61.6
2025-05-27,105,501,Coca-Cola 500ml,Beverages,Southern,38,1.5,57.0
2025-05-20,103,701,Anchor Full Cream 1L,Dairy,Northern,30,2.8,84.0
2025-05-20,102,701,Anchor Full Cream 1L,Dairy,Central,32,2.8,89.6
2025-05-14,102,502,Pepsi 500ml,Beverages,Western,6,1.4,8.4
2025-05-26,104,601,Sunlight Detergent 1kg,Household,Central,49,3.0,147.0
2025-05-20,104,802,Maliban Marie 400g,Food,Central,7,1.6,11.2
2025-05-02,104,801,Kist Mango Jam 500g,Food,Northern,29,2.2,63.8
2025-05-21,105,901,Signal Toothpaste 120g,Toiletries,Central,17,2.5,42.5
